Km,Vmax,id,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Complexity
3.425,0.007783333,1046,1,2.923,1.094,-0.071,7.4,25,2,3,-2,0.77815125,0.01,6,-0.698970004,0.2,-1.698970004,0.02,6.255272505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,160,40.5,0,0,11.50371352,6,-0.480086286,0.322470707,0,0,0
1.671,0.0072,1047,1,2.923,1.094,-0.071,7.4,25,3,3,-2,0.77815125,0.01,6,-0.698970004,0.2,-1.698970004,0.02,12.43838411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,160,40.5,0,0,11.50371352,6,-0.480086286,0.322470707,0,0,0
1.958,0.010033333,1048,1,2.923,1.094,-0.071,7.4,25,3,3,-2,0.77815125,0.01,6,-0.698970004,0.2,-1.698970004,0.02,7.431363764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,160,40.5,0,0,11.50371352,6,-0.480086286,0.322470707,0,0,0
0.0444,0.00321,1049,1,2.923,1.094,-0.071,7.4,25,1,3,-2,-0.397940009,0.01,0.4,0.301029996,2,-1.698970004,0.02,6.884591475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,160,0,0,6,11.50371352,-0.254557431,-0.254557431,0,0,0
0.0573,0.003883333,1050,1,2.923,1.094,-0.071,7.4,25,2,3,-2,-0.397940009,0.01,0.4,0.301029996,2,-1.698970004,0.02,6.255272505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,160,0,0,6,11.50371352,-0.254557431,-0.254557431,0,0,0
0.0925,0.005666667,1051,1,2.923,1.094,-0.071,7.4,25,3,3,-2,-0.397940009,0.01,0.4,0.301029996,2,-1.698970004,0.02,12.43838411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,160,0,0,6,11.50371352,-0.254557431,-0.254557431,0,0,0
0.143,0.002383333,1052,1,2.923,1.094,-0.071,7.4,25,3,3,-2,-0.397940009,0.01,0.4,0.301029996,2,-1.698970004,0.02,7.431363764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,160,0,0,6,11.50371352,-0.254557431,-0.254557431,0,0,0
0.018,6.45E-05,1053,2,2.618,1.2196,0.2746,3.5,25,1,5,-2,-1.15490196,0.01,0.07,0,0,-1,0.1,4.602059991,364.45,0.2,364.456,12.84164325,27.68777235,3.625283579,16.8044325,0,0,0,0,0,0,-1,4.483030858,0,226,52,64.4,0,0,5.99273862,0,-0.39829863,0.037337328,-2.230981606,0.999983537,0
0.0003,2.7,1054,1,2.75,1.32,0.1837,3.6,37,3,7,-2,-0.096910013,0.01,0.8,2.698970004,500,-1.22184875,0.06,7.799340549,62.07,0.2,62.068,0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0,0,0,-0.393990542,0,0,226,52,40.5,40.46,-1.4,5.99273862,6,-0.39829863,0.037337328,-1.699066797,1.000032223,0
1.281,85.9,1055,1,2.75,1.32,0.22,3.6,37,3,7,1,2,10,100,1.204119983,16,-1.22184875,0.06,7.799340549,62.07,0.2,62.068,0,13.21376393,-0.25,2.92,1.974744871,0.125,-0.125,0,0,0,-0.393990542,0,0,0,40.5,52,40.46,-1.4,6,5.99273862,-0.254557431,-0.254557431,-1.699066797,1.000032223,0
